n	k	d	fom	l	m	A	B	wt	fam	C	D
276	4	23	7.6667	23	6	x^4*y^2+x^11*y^3+x^17*y^0+x^17*y^5+x^19*y^4+x^20*y^2	x^4*y^1+x^5*y^4+x^13*y^1+x^15*y^4	10	css		
612	4	34	7.5556	34	9	x^5*y^5+x^6*y^2+x^24*y^5+x^32*y^2	x^18*y^0+x^27*y^7+x^28*y^8	7	css		
980	6	35	7.5000	14	35	x^0*y^17+x^3*y^2+x^10*y^22+x^11*y^34	x^6*y^13+x^8*y^5+x^13*y^21	7	css		
320	6	20	7.5000	8	20	x^1*y^9+x^2*y^2+x^3*y^10+x^7*y^6	x^2*y^4+x^2*y^5+x^4*y^9+x^5*y^9+x^6*y^4+x^7*y^17	10	css		
98	6	11	7.4082	7	7	x^0*y^3+x^0*y^4+x^6*y^3	x^2*y^0+x^3*y^4+x^5*y^1+x^6*y^2	7	css		
216	16	10	7.4074	3	36	x^0*y^10+x^1*y^18+x^2*y^14	x^0*y^6+x^1*y^26+x^2*y^6	6	css		
78	4	12	7.3846	3	13	x^0*y^4+x^1*y^0+x^1*y^1+x^1*y^2+x^2*y^0	x^0*y^8+x^1*y^3+x^2*y^2+x^2*y^8+x^2*y^11	10	css		
340	4	25	7.3529	17	10	x^2*y^0+x^4*y^0+x^6*y^4+x^8*y^0	x^4*y^0+x^6*y^2+x^7*y^2+x^10*y^6	8	css		
720	4	36	7.2000	24	15	x^4*y^1+x^13*y^3+x^14*y^1+x^18*y^6	x^0*y^0+x^8*y^10+x^18*y^4	7	css		
408	4	27	7.1471	12	17	x^1*y^12+x^4*y^1+x^4*y^10+x^7*y^12	x^7*y^2+x^8*y^3+x^9*y^16	7	css		
56	4	10	7.1429	14	2	x^2*y^1+x^4*y^1+x^7*y^1+x^8*y^0+x^9*y^0+x^10*y^0+x^12*y^0+x^13*y^0	x^3*y^1+x^5*y^0+x^9*y^1+x^10*y^1	12	css		
162	4	17	7.1358	9	9	x^0*y^3+x^2*y^5+x^3*y^8+x^4*y^2+x^6*y^7+x^8*y^4	x^5*y^4+x^7*y^2+x^8*y^5	9	css		
168	6	14	7.0000	4	21	x^2*y^10+x^3*y^11+x^3*y^15	x^1*y^15+x^1*y^18+x^3*y^5+x^3*y^6	7	css		
700	4	35	7.0000	10	35	x^0*y^16+x^1*y^3+x^4*y^25+x^6*y^18+x^7*y^21+x^8*y^32+x^9*y^3+x^9*y^18	x^1*y^13+x^4*y^2+x^5*y^20+x^5*y^26+x^6*y^13+x^7*y^16+x^9*y^17+x^9*y^28	16	css		
36	10	5	6.9444	9	2	x^0*y^0+x^2*y^1+x^3*y^1+x^4*y^0+x^5*y^0+x^7*y^1	x^0*y^1+x^4*y^0+x^5*y^0+x^6*y^1+x^7*y^0+x^8*y^0	12	css		
896	6	32	6.8571	56	8	x^5*y^5+x^8*y^5+x^29*y^3+x^36*y^4+x^49*y^6	x^6*y^4+x^15*y^1+x^20*y^4+x^34*y^0+x^37*y^2	10	css		
16	12	3	6.7500	4	2	x^0*y^0+x^0*y^1+x^1*y^0+x^1*y^1+x^2*y^0+x^2*y^1+x^3*y^0+x^3*y^1	x^0*y^1+x^1*y^1+x^2*y^1+x^3*y^1	12	css		
152	4	16	6.7368	2	38	x^0*y^18+x^0*y^36+x^1*y^12+x^1*y^36	x^0*y^8+x^0*y^17+x^0*y^25+x^1*y^11	8	css		
60	4	10	6.6667	10	3	x^2*y^0+x^4*y^1+x^5*y^0+x^9*y^2	x^1*y^1+x^5*y^2+x^7*y^1+x^8*y^1+x^8*y^2+x^9*y^0+x^9*y^1+x^9*y^2	12	css		
120	8	10	6.6667	2	30	x^0*y^5+x^0*y^11+x^0*y^14+x^0*y^23+x^1*y^9+x^1*y^17+x^1*y^21+x^1*y^29	x^0*y^2+x^0*y^26+x^1*y^4+x^1*y^15+x^1*y^29	13	css		
180	12	10	6.6667	15	6	x^4*y^5+x^7*y^1+x^8*y^2+x^10*y^3+x^11*y^5	x^0*y^4+x^1*y^2+x^1*y^5+x^12*y^4	9	css		
416	4	26	6.5000	52	4	x^5*y^0+x^11*y^1+x^21*y^3+x^27*y^1+x^39*y^1+x^41*y^0	x^19*y^3+x^27*y^1+x^33*y^3+x^46*y^3	10	css		
150	2	22	6.4533	3	25	x^0*y^17+x^0*y^21+x^2*y^2+x^2*y^12+x^2*y^14+x^2*y^22	x^0*y^20+x^2*y^0+x^2*y^9+x^2*y^22	10	css		
