n	k	d	fom	l	m	A	B	wt	fam	C	D
168	6	22	17.2857	42	2	x^6*y^1+x^11*y^0+x^17*y^1	x^12*y^1+x^14*y^1+x^17*y^0+x^21*y^0+x^37*y^0	8	css		
100	12	12	17.2800	2	25	x^0*y^9+x^0*y^18+x^1*y^8+x^1*y^9	x^0*y^3+x^0*y^21+x^1*y^3+x^1*y^16	8	css		
84	10	12	17.1429	6	7	x^1*y^0+x^1*y^4+x^2*y^5+x^3*y^2+x^4*y^2	x^0*y^2+x^1*y^0+x^4*y^5+x^4*y^6+x^5*y^5	10	css		
180	12	16	17.0667	18	5	x^3*y^4+x^5*y^3+x^9*y^2+x^17*y^1	x^6*y^1+x^6*y^2+x^8*y^2+x^14*y^1	8	css		
228	8	22	16.9825	19	6	x^2*y^2+x^7*y^0+x^14*y^4	x^1*y^1+x^4*y^2+x^6*y^3+x^10*y^2+x^11*y^5	8	css		
258	6	27	16.9535	3	43	x^0*y^10+x^0*y^18+x^1*y^24+x^1*y^32	x^0*y^6+x^0*y^26+x^1*y^19+x^1*y^36	8	css		
204	6	24	16.9412	51	2	x^10*y^0+x^21*y^0+x^22*y^1+x^42*y^1	x^27*y^0+x^28*y^0+x^34*y^1+x^48*y^0	8	css		
210	8	21	16.8000	21	5	x^5*y^2+x^9*y^0+x^13*y^0+x^17*y^2	x^2*y^0+x^5*y^1+x^8*y^3+x^11*y^2+x^16*y^4	9	css		
176	6	22	16.5000	8	11	x^1*y^0+x^2*y^0+x^5*y^7+x^6*y^9	x^3*y^5+x^4*y^1+x^5*y^6+x^6*y^8	8	css		
150	6	20	16.0000	25	3	x^2*y^1+x^3*y^0+x^7*y^0+x^18*y^1	x^0*y^2+x^5*y^2+x^8*y^1+x^21*y^1	8	css		
160	10	16	16.0000	40	2	x^0*y^1+x^9*y^0+x^11*y^0+x^18*y^0	x^2*y^1+x^4*y^1+x^9*y^1+x^11*y^0	8	css		
136	6	19	15.9265	34	2	x^4*y^0+x^12*y^0+x^21*y^1+x^33*y^1	x^5*y^1+x^28*y^0+x^32*y^1+x^33*y^0	8	css		
162	10	16	15.8025	3	27	x^0*y^0+x^0*y^1+x^2*y^4+x^2*y^26	x^0*y^16+x^0*y^20+x^2*y^0+x^2*y^14	8	css		
306	12	20	15.6863	51	3	x^6*y^2+x^7*y^1+x^20*y^0	x^3*y^2+x^28*y^1+x^44*y^0	6	css		
196	12	16	15.6735	7	14	x^0*y^4+x^0*y^6+x^4*y^6	x^0*y^7+x^0*y^10+x^1*y^0+x^5*y^3+x^5*y^10	8	css		
154	6	20	15.5844	11	7	x^0*y^0+x^3*y^0+x^9*y^4+x^10*y^4	x^0*y^3+x^8*y^4+x^8*y^6	7	css		
126	10	14	15.5556	3	21	x^1*y^0+x^1*y^7+x^2*y^0+x^2*y^5	x^1*y^0+x^1*y^2+x^2*y^7+x^2*y^11	8	css		
208	8	20	15.3846	26	4	x^6*y^2+x^10*y^0+x^14*y^2+x^21*y^0	x^0*y^0+x^2*y^3+x^8*y^3+x^23*y^0	8	css		
276	8	23	15.3333	3	46	x^1*y^4+x^1*y^42+x^2*y^3+x^2*y^17	x^0*y^37+x^1*y^1+x^2*y^13+x^2*y^33+x^2*y^37	9	css		
128	10	14	15.3125	8	8	x^1*y^0+x^1*y^1+x^6*y^6+x^7*y^1	x^1*y^0+x^1*y^5+x^2*y^3+x^2*y^6	8	css		
174	6	21	15.2069	3	29	x^0*y^11+x^0*y^20+x^1*y^4+x^1*y^25	x^0*y^1+x^0*y^22+x^2*y^0+x^2*y^22	8	css		
